date,RV,DRV
2020-01-03,6.564941804791433e-05,5.036367971897261e-05
2020-01-06,3.540183728731952e-05,-3.024758076059481e-05
2020-01-07,1.5406187677694106e-05,-1.999564960962541e-05
2020-01-08,2.7258317641337145e-05,1.1852129963643039e-05
2020-01-09,4.2285045648675885e-05,1.502672800733874e-05
2020-01-10,1.4394190193944317e-05,-2.7890855454731567e-05
2020-01-13,7.068930529706094e-06,-7.325259664238223e-06
2020-01-14,1.7489211678155122e-05,1.0420281148449028e-05
2020-01-15,2.1640613131791184e-05,4.151401453636062e-06
2020-01-16,3.6892205690432025e-05,1.525159255864084e-05
2020-01-17,1.1607825497989017e-05,-2.528438019244301e-05
2020-01-20,0.0,-1.1607825497989017e-05
2020-01-21,1.5940559262948028e-05,1.5940559262948028e-05
2020-01-22,2.5491606482644975e-05,9.551047219696947e-06
2020-01-23,4.889392041727911e-05,2.3402313934634135e-05
2020-01-24,6.9774060705042e-05,2.088014028776289e-05
2020-01-27,0.0002765218238286641,0.0002067477631236221
2020-01-28,2.731340994894171e-05,-0.0002492084138797224
2020-01-29,6.142815071270478e-05,3.4114740763763066e-05
2020-01-30,7.126151412074593e-05,9.833363408041153e-06
2020-01-31,0.00011420693856276203,4.2945424442016096e-05
2020-02-03,7.947302826207487e-05,-3.473391030068716e-05
2020-02-04,0.0002096379559505217,0.00013016492768844684
2020-02-05,0.00010470721249729286,-0.00010493074345322883
2020-02-06,3.258484086472421e-05,-7.212237163256864e-05
2020-02-07,6.11087431855332e-05,2.852390232080899e-05
2020-02-10,1.4004024106276559e-05,-4.7104719079256644e-05
2020-02-11,2.792514178995811e-05,1.392111768368155e-05
2020-02-12,6.942071981226244e-05,4.149557802230433e-05
2020-02-13,3.725609335284999e-05,-3.2164626459412454e-05
2020-02-14,1.705222076694529e-05,-2.02038725859047e-05
2020-02-17,0.0,-1.705222076694529e-05
2020-02-18,3.2019664414126066e-05,3.2019664414126066e-05
2020-02-19,1.16889202751256e-05,-2.0330744139000463e-05
2020-02-20,7.678079961572802e-05,6.509187934060243e-05
2020-02-21,0.00010678616806196295,3.000536844623493e-05
2020-02-24,0.0009510989300599221,0.0008443127619979591
2020-02-25,0.0006098395781147923,-0.00034125935194512984
2020-02-26,0.000290546012521432,-0.0003192935655933603
2020-02-27,0.0011002647229503644,0.0008097187104289323
2020-02-28,0.0018595770073357647,0.0007593122843854003
2020-03-02,0.0006513027702618586,-0.0012082742370739061
2020-03-03,0.0017467680135493729,0.0010954652432875142
2020-03-04,0.0008438189042434661,-0.0009029491093059068
2020-03-05,0.0009119472227673553,6.812831852388921e-05
2020-03-06,0.0013597835840579635,0.0004478363612906082
2020-03-09,0.00704998924923033,0.005690205665172367
2020-03-10,0.002534187156930656,-0.004515802092299674
2020-03-11,0.0011381445652728364,-0.0013960425916578199
2020-03-12,0.009310785750954875,0.008172641185682039
2020-03-13,0.0050394828847503716,-0.004271302866204503
2020-03-16,0.016500443529189602,0.01146096064443923
2020-03-17,0.002923666684241107,-0.013576776844948495
2020-03-18,0.005435759526461299,0.002512092842220192
2020-03-19,0.002515269123756087,-0.002920490402705212
2020-03-20,0.0016312637509030554,-0.0008840053728530316
2020-03-23,0.003042554436908154,0.0014112906860050986
2020-03-24,0.0051719876664195535,0.0021294332295113995
2020-03-25,0.002097751383114585,-0.0030742362833049686
2020-03-26,0.0016056138415383597,-0.0004921375415762252
2020-03-27,0.0019075222196404732,0.00030190837810211346
2020-03-30,0.0004673371516311876,-0.0014401850680092856
2020-03-31,0.0004447284900124193,-2.2608661618768314e-05
2020-04-01,0.0017529603466373334,0.0013082318566249142
2020-04-02,0.0008900461547296978,-0.0008629141919076356
2020-04-03,0.00040109363077014146,-0.0004889525239595564
2020-04-06,0.0016728821746585646,0.0012717885438884233
2020-04-07,0.0021662855223081065,0.0004934033476495419
