date,RV,DRV,s_mean,s_std,m_mean,m_std,OFI_sum,OFI_mean,dmt_mean,dmt_std,s_rel_mean,s_rel_std,Q_bid_sum,Q_bid_mean,Q_ask_sum,Q_ask_mean,B_mean,B_std,A_mean,A_std
2020-01-03,6.564941804791433e-05,5.036367971897261e-05,-3.5644303797468364,32.231825160809834,277.5108227848101,47.81363625383815,-1.0,-0.012658227848101266,-0.008607594936708948,68.80364022559245,-0.02575516137731183,0.22794658026323472,295.0,3.7341772151898733,254.0,3.2151898734177213,279.29303797468356,45.3005949854635,275.7286075949367,55.132467695453286
2020-01-06,3.540183728731952e-05,-3.024758076059481e-05,3.700506329113923,56.24168624370374,280.4216455696203,27.342795677518282,-83.0,-1.0506329113924051,0.009746835443037742,32.2911200770819,0.025433387461517205,0.39139625035503733,401.0,5.075949367088608,569.0,7.2025316455696204,278.5713924050633,45.18569185080995,282.2718987341772,32.17256344552422
2020-01-07,1.5406187677694106e-05,-1.999564960962541e-05,4.314177215189875,32.36649108488097,284.25696202531645,16.0932980440442,84.0,1.0632911392405062,-0.0065822784810124265,22.898387575417644,0.02773511856004557,0.22519216890061217,411.0,5.2025316455696204,371.0,4.69620253164557,282.09987341772154,32.207218791622836,286.41405063291137,2.11622639413878
2020-01-08,2.7258317641337145e-05,1.1852129963643039e-05,-3.601772151898736,32.36993610568117,278.2046835443038,47.92962037397587,-20.0,-0.25316455696202533,0.012088607594935788,69.1588044138531,-0.025832436768694244,0.22793753112984722,350.0,4.430379746835443,469.0,5.936708860759493,280.00556962025314,45.423332752289525,276.40379746835447,55.273178321900474
2020-01-09,4.2285045648675885e-05,1.502672800733874e-05,4.353417721518984,32.71259629130869,283.7524050632912,36.19996413141691,20.0,0.25316455696202533,0.020632911392405005,51.710581979869964,0.028070285477275095,0.22662974550539086,284.0,3.5949367088607596,367.0,4.6455696202531644,281.5756962025316,45.718521794629496,285.9291139240506,32.64580446557879
2020-01-10,1.4394190193944317e-05,-2.7890855454731567e-05,0.8225316455696183,4.182272253322198,289.05772151898736,0.5284816164162562,0.0,0.0,0.008607594936709673,0.44102440242158986,0.0028390265063571105,0.014434548717999188,358.0,4.531645569620253,373.0,4.7215189873417724,288.6464556962025,2.0241877370458803,289.46898734177216,2.2818742830023377
2020-01-13,7.068930529706094e-06,-7.325259664238223e-06,0.06683544303797359,0.2941417079720432,288.7186075949367,0.2080032308502296,-8.0,-0.10126582278481013,-0.008987341772152359,0.2744159062104585,0.0002319624968510148,0.0010229891356061504,345.0,4.367088607594937,371.0,4.69620253164557,288.68518987341776,0.32346228234720076,288.7520253164557,0.15862695915692235
2020-01-14,1.7489211678155122e-05,1.0420281148449028e-05,0.6931645569620265,4.1192623014893375,286.0092405063291,32.594483793653616,8.0,0.10126582278481013,0.003607594936708455,46.31807146449643,0.0024266086520918586,0.014328521149970469,323.0,4.0886075949367084,334.0,4.227848101265823,285.66265822784806,32.623955399677634,286.35582278481013,32.694991093187
2020-01-15,2.1640613131791184e-05,4.151401453636062e-06,-3.37240506329114,32.67588365058611,288.70645569620257,16.387437538301416,-17.0,-0.21518987341772153,0.012911392405063778,23.202652335228493,-0.024288958079116615,0.2251793174539484,354.0,4.481012658227848,373.0,4.7215189873417724,290.39265822784813,1.0071458897462213,287.02025316455695,32.70991533883186
2020-01-16,3.6892205690432025e-05,1.525159255864084e-05,3.8634177215189855,32.855869626881834,290.1604430379747,16.425273681322,9.0,0.11392405063291139,0.03348101265822833,23.38266656607025,0.02588631122955206,0.22497152597639036,351.0,4.443037974683544,410.0,5.189873417721519,288.2287341772152,32.850639862912736,292.0921518987342,0.41082365948797056
